uf,cod_municipio,municipio,esf,equipes,populacao,equipes_por_100mil,cobertura_pct
MA,211065,SÃO DOMINGOS DO AZEITÃO,4.0,4.0,8236.0,48.6,169.98
MA,211070,SÃO DOMINGOS DO MARANHÃO,16.0,18.0,35247.0,51.1,173.77
MA,211085,SÃO FRANCISCO DO BREJÃO,3.0,3.0,9202.0,32.6,114.1
MA,211090,SÃO FRANCISCO DO MARANHÃO,6.0,6.0,12360.0,48.5,169.9
MA,211080,SÃO FÉLIX DE BALSAS,2.0,2.0,4491.0,44.5,155.86
MA,211120,SÃO JOSÉ DE RIBAMAR,59.0,60.0,259164.0,23.2,80.69
MA,211125,SÃO JOSÉ DOS BASÍLIOS,3.0,5.0,7094.0,70.5,222.01
MA,211100,SÃO JOÃO BATISTA,10.0,10.0,18889.0,52.9,185.29
MA,211102,SÃO JOÃO DO CARÚ,8.0,8.0,12360.0,64.7,226.53
MA,211105,SÃO JOÃO DO PARAÍSO,6.0,6.0,10091.0,59.5,208.1
MA,211107,SÃO JOÃO DO SOTER,9.0,9.0,17253.0,52.2,182.57
MA,211110,SÃO JOÃO DOS PATOS,10.0,10.0,25910.0,38.6,135.08
MA,211130,SÃO LUÍS,186.0,186.0,1089215.0,17.1,59.76
MA,211140,SÃO LUÍS GONZAGA DO MARANHÃO,9.0,9.0,18123.0,49.7,173.81
MA,211150,SÃO MATEUS DO MARANHÃO,17.0,17.0,40177.0,42.3,148.09
MA,211153,SÃO PEDRO DA ÁGUA BRANCA,5.0,5.0,14786.0,33.8,118.35
MA,211157,SÃO PEDRO DOS CRENTES,2.0,3.0,5993.0,50.1,160.6
MA,211160,SÃO RAIMUNDO DAS MANGABEIRAS,10.0,10.0,19158.0,52.2,182.69
MA,211163,SÃO RAIMUNDO DO DOCA BEZERRA,3.0,3.0,5761.0,52.1,182.26
MA,211167,SÃO ROBERTO,3.0,3.0,4577.0,65.5,229.4
MA,211170,SÃO VICENTE FERRER,11.0,11.0,19865.0,55.4,193.8
MA,211180,SÍTIO NOVO,9.0,9.0,17464.0,51.5,180.37
MA,211200,TASSO FRAGOSO,4.0,4.0,9130.0,43.8,153.34
MA,211210,TIMBIRAS,12.0,12.0,27328.0,43.9,153.68
MA,211220,TIMON,57.0,57.0,182711.0,31.2,109.18
MA,211223,TRIZIDELA DO VALE,11.0,11.0,23097.0,47.6,166.68
MA,211227,TUFILÂNDIA,3.0,3.0,5633.0,53.3,186.4
MA,211230,TUNTUM,18.0,24.0,37364.0,64.2,210.76
MA,211240,TURIAÇU,9.0,9.0,38993.0,23.1,80.78
MA,211245,TURILÂNDIA,13.0,13.0,33219.0,39.1,136.96
MA,211250,TUTÓIA,28.0,29.0,55076.0,52.7,182.7
MA,211260,URBANO SANTOS,13.0,13.0,34143.0,38.1,133.26
MA,211270,VARGEM GRANDE,17.0,17.0,44444.0,38.3,133.87
MA,211280,VIANA,21.0,21.0,53176.0,39.5,138.22
MA,211285,VILA NOVA DOS MARTÍRIOS,4.0,5.0,10561.0,47.3,157.41
MA,211300,VITORINO FREIRE,16.0,16.0,31920.0,50.1,175.43
MA,211290,VITÓRIA DO MEARIM,15.0,15.0,31859.0,47.1,164.78
MA,211400,ZÉ DOCA,25.0,25.0,41815.0,59.8,209.25
MA,210015,ÁGUA DOCE DO MARANHÃO,6.0,6.0,12461.0,48.2,168.52
