uf,ano,cnae,cnae_nome,tabela,unidades_locais,empresas,pessoal_ocupado_3112,valor_bruto_prod_ind_mil_rs,valor_transf_ind_mil_rs,receita_liquida_vendas_mil_rs,salarios_remuneracoes_mil_rs
MA,2024,116910,C Indústrias de transformação,10457,1411.0,1329.0,44078.0,37730581.0,12514501.0,39240586.0,
MT,2023,116910,C Indústrias de transformação,1849,3773.0,,117393.0,135416930.0,36551016.0,145816763.0,
MT,2024,116910,C Indústrias de transformação,10457,3745.0,3466.0,120414.0,131324886.0,39449198.0,135244183.0,
PA,2023,116910,C Indústrias de transformação,1849,2360.0,,98187.0,61269407.0,16806134.0,61981337.0,
PA,2024,116910,C Indústrias de transformação,10457,2475.0,2233.0,100930.0,73643554.0,23265380.0,73863741.0,
RO,2023,116910,C Indústrias de transformação,1849,1196.0,,31828.0,17691657.0,5605891.0,17879352.0,
RO,2024,116910,C Indústrias de transformação,10457,1212.0,1135.0,31202.0,19869794.0,5778376.0,20063902.0,
RR,2023,116910,C Indústrias de transformação,1849,143.0,,3246.0,684370.0,238610.0,654823.0,
RR,2024,116910,C Indústrias de transformação,10457,193.0,182.0,3687.0,1068913.0,353282.0,1094545.0,
TO,2023,116910,C Indústrias de transformação,1849,727.0,,19281.0,15753867.0,4053343.0,15926364.0,
TO,2024,116910,C Indústrias de transformação,10457,755.0,717.0,20472.0,17946695.0,5027845.0,17881195.0,
AC,2023,116911,10 Fabricação de produtos alimentícios,1849,114.0,,3547.0,2117035.0,458996.0,2175413.0,
AC,2024,116911,10 Fabricação de produtos alimentícios,10457,111.0,87.0,3721.0,2927490.0,701769.0,2976614.0,
AM,2023,116911,10 Fabricação de produtos alimentícios,1849,242.0,,6581.0,3576135.0,907744.0,4053997.0,
AM,2024,116911,10 Fabricação de produtos alimentícios,10457,248.0,242.0,5711.0,5427932.0,1404870.0,5664157.0,
AP,2023,116911,10 Fabricação de produtos alimentícios,1849,86.0,,1478.0,293051.0,116886.0,276299.0,
AP,2024,116911,10 Fabricação de produtos alimentícios,10457,94.0,90.0,1885.0,458108.0,182902.0,437366.0,
MA,2023,116911,10 Fabricação de produtos alimentícios,1849,356.0,,8301.0,5933184.0,1409897.0,6065593.0,
MA,2024,116911,10 Fabricação de produtos alimentícios,10457,362.0,342.0,9363.0,5145959.0,1495730.0,5280737.0,
MT,2023,116911,10 Fabricação de produtos alimentícios,1849,722.0,,58590.0,74246643.0,19086075.0,76450099.0,
MT,2024,116911,10 Fabricação de produtos alimentícios,10457,765.0,639.0,60532.0,71730934.0,19382020.0,73516463.0,
